,Date,ID,Comment,Like
30,2023-08-12,@henry18954,사기제품 리뷰를 하시다니..ㄷㄷ,6
31,2023-08-08,@다캐릭증후군,"<a href=""https://www.youtube.com/watch?v=7DTpY4cMpd4"">https://youtu.be/7DTpY4cMpd4</a> <br>같은회사 제품인데 제품이 참 극과 극이네요",0
32,2023-08-04,@화나죵,"냄새 심해요,,,, 한두달 지나보면 ㅠㅠ 관리가 까다로워요 밥이나 탄수화물은 되게 좋아하능데 식물 키우듯 미생이 키워야 냄새 없이 컨디션 좋게 키워요 안에 고장 있어서 수리 불렀는데 수리해주는 분들도 이걸 왜 실내에 두는지 이해안간다며,,,, 😢😢",4
33,2023-08-01,@myworld6001,사기업체 린클이 어제 네이버 브랜드스토어 판매자명을 스마트라이프 텍으로 변경함. <br>그동안 한미플렉시블에서 위탁 판매만 한거라고 거짓말 치다가 안 통하니까 상호명 변경 ㅋㅋㅋㅋ<br>라방 일자 미루고 그동안 잠잠해지길 바라세요? 소비자를 개돼지로 아는 린클 타도,4
34,2023-08-01,@LIVE-zp3lz,헐 한미플렉시블에서 만드는 거라고 바이럴 치고 다니더니 그새 회사를 바꿔넣었네요,0
35,2023-10-05,@GAM5T,애초에 이딴걸 사는거자체가 레전드,0
36,2023-07-28,@mapl-w5s,이거 효과있는거 맞아요?,2
37,2023-07-27,@김미역,잇섭 욕하진 말자 폴드3 미리 받았는데 테스트 못하게 막아서 결함있을까봐 영상 폐기했던분이다..,0
38,2023-07-26,@김과장-q1m,ㄷㄷ...이게무슨일임...아무리 검토해도 어쩔수없는부분이있는건가,3
39,2023-07-25,@평화주의-p9k,아비크가 린클 유통만 하고 있다고 하더라고요<br>제조사와 A/S는 다른 회사라고 아비크와 관련 없다는 해명이 올라왔더라고요,8
40,2023-07-25,@파리지앵-p1q,ㅅㅁㅇㅇ,1
41,2023-07-25,@sky-rx5lj,사망여우가 저격한 회사의 린클 잘 봤구연~,3
42,2023-07-25,@dogpignoru8261,OEM판매중인 에이치컴바인드(모기업 아비크)의 음식물처리기 린클은 제조사 한미프렉시블통해서 제조되는 제품입니다.,4
43,2023-07-25,@Koarzt,즉 판매 과정에서 문제가 있을 순 있어도 린클 제품 자체의 퀄리티는 이와 무관하게 좋을 수 있다는 것이죠. 판매업체와 제조업체를 구분하지 못하고 리뷰어들이 거짓된 성능의 제품을 광고하는 것으로 이해하신 분들이 많은것 같더라구요.,4
44,2023-07-25,@Higherthan,그래도 영향이 없을 순 없을 겁니다. 최근 논란에 빠진 비비딕이랑 린클은 아비크라는 한 회사에 묶여있기 때문이죠. 비비딕 때문에 아비크 회사 신뢰도가 하락했는데 린클측에서는 어떻게 나올지 궁금하네요,1
45,2023-07-24,@event_horizon429,아이고 쓰레기같은 업체대표에게 잘못걸리셨네요,4
46,2023-07-24,@photographeseoul2356,사망여우 유툽 보고 오셔야 할듯,6
47,2024-07-06,@Best-f04n30ck,왜요?,0
48,2023-07-24,@구루마코인,사망여우 채널에서 린클 터졌습니다 행님 대표가 똑같네요 빼박,6
49,2023-07-25,@구루마코인,@@Blaine_support 네 다음 소설가분 들어오세요,0
50,2023-07-28,@ollie-o,@@Blaine_support 되게 자세히 정성들인 소설같네요.,0
51,2023-07-28,@ollie-o,@@Blaine_support 딱히 틀린말은 아니네요.,0
52,2023-07-24,@PhD_Kim1991,사망여우 보고 린클 광고 누가했나 찾아봤는데.. 오마이갓😢,19
53,2023-07-24,@아무거나-o9n,아이고,2
54,2023-07-24,@kioojun646,이게 사기업체였네 ㄷㄷ,2
55,2023-07-24,@smh8003,사망여우 비비딕편 참고하시면됩니다 사기업체입니다,4
56,2023-07-24,@rnlqk,사망여우,3
57,2023-07-20,@coco_jerry,어디서 봤는데 엄마가 여행갔는데 미생물 밥을 안줬다고 남편한테 밥좀챙겨주라했는데 자식한테 밥차려줬다는 ㅋㅋㅋ 음쓰를 꾸준히 줘야하고 안그러면 미생물이 죽는대요. 몇일 여행가거나 하면 아마 미생물이 죽지않을까.. 최소 몇일까지 밥을 안줘도 되는지 그런것도 알려주시면 좋겠는뎅..,0
58,2023-07-20,@cho2th,쓰고 있는데 너무 좋습니다,1
59,2023-07-11,@일팔팔-v8j,기계 사용자들이 많으신데 단점이 궁금합니다.,0
60,2023-07-05,@cream3686,"저 기계를 사용해보신 분들께 질문좀 드릴게요..<br><br>저 퇴비?? 같은거 처음에 한봉다리 넣으면 그거로 계속 써야하는건가요??<br><br>쓰레기를 넣다보면 부피가 커져서 점점 쌓일텐데 이경우 조금씩 걷어서 밖에 버리면 되는건가요?<br><br>제일 궁금한게 그거였어요 ㅎㅎ<br>점점 차오르면 어찌 해야하는지..<br>저 퇴비는 한번넣고 계속 사용하는건지 아니면 일정기간 사용하고나면 다시 새거로 부어줘야하는지..<br><br>지금 저희집에 꼭 필요한 기계 같아요.<br>서울에서 살다가 부산에 이사왔는데 ,<br>이곳의 배출 방법은 굉장히 비효율적이고 위생적이지 못하며 ,<br>일관성도 없더라구요.<br>플라스틱 통에다가 플라스틱 카드 끼워서 나 카드 구입자에요(비용지불했어요) 라는 인증?? 식으로 플라스틱을 카드를 끼워넣는건데,<br><br>일반 쓰레기는 종량제 봉투로 버리면서 음식쓰레기만 통에 그런식으로 보관했다가 차면 밑에다 내려놓아야 합니다.<br><br>그럼 수거하시는 분들이 내용물만 탈탈 털어 가져가시는데 그냥 대충 툭 하고 비워가기때매 주변에 굉장히 냄새나고 통 안에서 음식이 썩거나 얼거나 하며 이로인해 가져가기전까지 벌레가 꼬여 건물 입구에 바퀴벌레가 드글드글..<br><br>그걸또 집에 가져와서 화장실로 직행하여 취두부 저리가라 수준의 악취가 나는 통을 세척을 하고 다시 베란다에 모셔두고 이걸 반복합니다.<br><br>근데 엘레베이터가 없는 다세대 건물에 사는경우 힘들거나 귀찮거나 비위생적인걸 떠나 계단을 오르락 내리락 해야하고..<br><br>너무 비효율 적이고 비위생적인데 배출 일관성도 없는 상태라 그걸 비료로 판매하여 시나 구청에서 비자금을 챙길려고 그러나? 하는 다소 엉뚱한 의심이 들 정도로 매우 이해가 안가는 시스템.<br><br>하물며 건강이 좋지못한 노인들만 사는 세대라면 정말 못할짓이죠.<br>그냥 음식물 쓰레기 봉투를 사서 그곳에 버린후 내다놓으면 가져가는 서울 방식대로 하면 모두가 편하고 위생적일텐데 왜 이런 어처구니 없는 방식을 도입한건지 도무지 이해가 안가는..<br><br>아무튼 저희집은 다세대 4층에 살고있고 모두가 다리가 불편하여 힘든건 물론 그 악취와 벌레 , 수거해간후 고어스러운 그 쓰레기통 상태를 보고 세척해야하는 어려움등 여러모로 힘든 상황이라 저 음식물 처리기가 너무 필요한 상황이거든요..<br><br>그래서 구입을 고려하고 있는 상태인데 , 앞서 질문드린 뷰분들이 궁금합니다. 아시는분 답변좀 부탁드려요.",0
61,2023-07-09,@김광호-y6z,차오르는 것만 버려주면서 쓰면 됩니다. 다시 새로 부어주거나 하는 것은 없어요.  미생물 관리의 번거로움이 있긴 하지만 댓글님의 현재 불편함에 비하면 아무것도 아닐 거 같아요.,0
62,2024-01-03,@블루슈가맘,"저는 21년부터 쓰고 있는데 정말 좋아요. 2,3개월에 한번 내용물 차면 일반쓰레기로 버리면 되요. 평소에 음쓰 버릴때 부엌이나,식탁에서 썼던 휴지, 키친타올등 같이 버려주면 물기도 잡아주고 분해도 잘되요. 물티슈는 절대 안되고요. 수박껍질 같은거는 한번에 정리해서  공용에 버리거나 귀찮으면 수박껍질만 냉동실에 얼렸다가 음쓰   별로 없는날 나눠서 버려요.한번에 너무 많은양만 안버리면 따로 관리할것도 없어요.",0
63,2023-06-11,@noxdoti,1.8리터라는데 계속 1.5리터라고 하는구나,0
64,2023-06-04,@안기오-p5x,"저게 분해가 아니라 ..<br>ㅎㅎㅎㅎㅎㅎ<br>미생물들이 얌얌한 후에 내놓는 배설물이에요! ㅎㅎㅎㅎㅎㅎㅎㅎㅎ<br>정화시켜 놓은 기체로 나가는 양이 있을테니 총 무게는 줄었겠네요.<br>나중에 미생물이 생명을 다 하면, 그 배설물을 잘 묵혔다가 화초 비료로 주면 적당하겠네요. 집에서 실천하는 자연 순환이지요. 문제는 가공식품이면 피할 수 없는 염분끼인데 .. 염도가 얼마나 되련지 ..<br>미생물이 소금을 먹지는 않을텐데 .. 먹는다 해도 죽을텐데 ..<br><br>사람 눈에 안 보일 뿐이지, 사실상 벌레들 넣어놓고 음식물로 키우는 격입니다.",1
65,2023-06-03,@김댓-l1d,광고 ㅡㅡ,1
66,2023-05-28,@kentromano7482,남아있는 빵을 넣는다는데 빵이 남는다고요????,0
67,2023-05-26,@kjh7387,허브류들 향신채들은 잘안되는데 녹차잎 등등도요 얘네도 대부분 부패 방지에도움 주는 애들이라 ㅎㅎ,0
68,2023-05-22,@마케팅강의,미생물 먹이 잘못줘서 시커멓게 되면 저기서 조트 썩은내 난다던데 ㅋㅋㅋ그거 듣고 안 샀는데 사고 싶네,0
69,2023-05-21,@ej7806,밥이랑 빵이 남지를 않는데 어떻게 미생물을 활성화시켜야 될죠?!,0
70,2023-05-14,@MongKyu_OUT,비싸긴 하다,0
71,2023-05-09,@미숫가루찌개,가루로 만든다.<br>밀웜에게 먹인다.<br>밀웜의 분변은 지렁이에게 먹인다.<br>지렁이의 분변을 거름으로 쓴다.<br><br>자! 받아적어 식집사들!,0
72,2023-05-08,@porschetaycan5219,현재도 쓰시는지 궁금하군여?,1
73,2023-05-05,@LifeDrifter,번거롭네,0
74,2023-04-23,@bavillio,한국인들은 김치와 같은 매운 음식이 필수고 이를 씻어서 버려야한다면 그냥 음쓰봉다리를 쓸 것 같습니다. 미생물활용 흙처럼 변하는 것은 결국 신기한 기능의 비싼 과학실험 교보재같은 느낌이네요.. 모든 종류의 음쓰를 안 씻고 갈아버릴 수 있는 것은 미생물의 힘보단 그냥 쓰레기처리시설의 분쇄기에게 맡기는 편이 나을 것 같네요😂,1
75,2023-04-16,@touchmr2388,"저런 거 말고, 그냥 음식물 발효제를 사서 음식물 쓰레기와 손으로 섞어주면 되지 않을까요.. 그럼 퇴비가 되지요.",0
76,2023-04-01,@크롱-q1w,저걸 엄청 크게 만들면 전국적으로 음쓰 처리도 쉽게 되지 않을까요???,0
77,2023-03-28,@김기남-w5h,"집에서 사용하는 세탁기,세면대,싱크대,변기,샤워기,데스크톱 컴퓨터,tv,가스레인지,인덕션,정수기,침대난방기가 어떻게 물세,전기세,가스세가 나는 이유와 작동원리를 알려주세요?",0
78,2023-03-23,@Ho99999,솔직히 프라임은 <br>음식물처리기 키우기급이지ㅋㅋ<br>귀찮으신분들은 절대 비추,0
79,2023-03-15,@달걀독재-1945,이거에서 나온 흙을 식물 키울때 써도 되나요?,0
80,2023-03-13,@듀더년,와씨 사람 넣으면 어케 되겠노<br>개구리나 물고기 같은거... 실험 안되나?,0
81,2023-03-11,@이안-k5n,참고로 캡사이신과 젓갈과 같이 염분이 많은 음식물은 음식물 쓰레기로 버리면 안 되고 일반쓰레기에 버려야 합니다 동물의 사료로 쓰일 수 없기 때문에 일반쓰레기로 분류된다는군요,0
82,2023-03-07,@oshunpink2298,탕수욱이랑 치킨이 왜 남지.........?,0
83,2023-03-07,@oshunpink2298,믹서에 갈아서 버리면 더 빨리 분해 될 거 같아요 근데 잇섭님 왤케 살쪘나요,0
84,2023-03-03,@cherrygrape84,뽐뿌오네요~,0
85,2023-03-02,@힘내자-v9o,집에서  쓰고있는데 냄새도 딱히 안나고 진짜 최고입니다 와이프가 너무 좋아합니다,0
86,2023-03-01,@jeronimomartinez5087,식물 키우는 사람들한테는 비료로 딱인듯요,0
87,2023-02-27,@matthewkim1855,밀웜은 뭐든 잘 먹는데,0
88,2023-02-25,@성용석-u1o,두개다쓰면 딱이겠다 분쇄로 찌꺼기모인거 미생물에 넣으면 젤 깔끔할거같은데,0
89,2023-02-24,@ihw3301,"저렇게 오래 썩히느니, 종량제로 버려라",0
90,2023-02-23,@tmd2585,비료료 쓸수 있나요!?!?,0
91,2023-02-23,@utasukisugi3945,와 그럼 누구 하나 묻을때 미생물로 분해하는 방법 선택하면 증거 안남겠네 ㄷ 근데 시간은 오래걸리겠다,0
92,2023-02-23,@갓율-t9e,처음 투입하신 미생물은 영구적인가요 ??? 아니면 교체 주기가 있을까요 ????,0
93,2023-02-23,@우진이-c2n,흙을 다 퍼내거나 미생물이 안좋아하는 음식을 넣어서 죽이는거 아닌이상 반영구적입니다<br>음식을 흙으로 만들어버리면서 미생물이 번식을 합니다 그래서 교체없이 반영구적입니다,1
94,2023-02-21,@韓国人です-u7i,앞머리 좀 자르셔야할듯 ㅎㅎ,0
95,2023-02-21,@봄이왔어요-j6x,홍지승님인줄…,0
96,2023-02-19,@fullmoon0488,음쓰가 많이 나오는 편이라 혹했는데 안 되는 게 너무 많네...,0
97,2023-02-18,@geunyoungpark300,이건 환경적으로 너무좋네요♡막그냥갈아버리는것도잇던데~,0
98,2023-02-17,@마따끄-l6n,얘 맵찔이입니다,0
99,2023-02-12,@터틀넥-c6o,"관심이 가는데 가격도 그렇고 굳이 전자동 일 필요도 없는거 아닌가요? <br>취미로 식물 기르면 가정에 퇴비통 만들기도 하는데 원리, 관리 똑같네요  물론 애완식물에 줄거라 아무거나 퇴비 처리 안하지만요 ㅋ <br>아무튼 기능에 비해 가격이 매우 아쉽네요",1
100,2023-10-28,@somejj8370,미생물에게 적합한 온도(따뜻한) 유지+교반봉이 계속 돌아가면서 미생물 뭉치지 않고 잘 분해할 수 잇도록 저어줍니다. 물론 성가격이 비싼 건 인정..,0
101,2023-02-12,@frisatsunday7066,린클 여전히 잘 쓰고 계신가요? 6달 사용기 한번 해주세요~,1
102,2023-02-11,@rjsjshshsusidhdbsh,분해된 찌꺼기는 일반 쓰레기로 버려요??,0
103,2023-02-08,@mikaen2891,혹시 쓰다가 한 2주 음식을 안줘도 문제없을까요? 굳어버린다던지.. 여행가는데 미생물걱정..,0
104,2023-02-17,@마따끄-l6n,2~3일정도 먹이 안준다음 퍼내서 보관하시면 된다고 쓰여있습니다,1
105,2023-02-08,@브레드붐,기름이나 고추 마늘 안되면 나한테는 무쓸모....,1
106,2023-02-06,@Leawon_nailed_beat,음쓰가 처리 되고 계속 쌓이는 흙(?)은 주기적으로 조금씩 버려야 되나요?,1
107,2023-02-02,@김가문-m1c,다 먹으면 음식물이 안나옵니닷,0
108,2023-02-02,@원글,짬가루...,0
109,2023-02-01,@TGIF2u,제가 살림을 해보니 자주 버리는 음쓰종류가 된장찌개 남은거 김치 못먹게 쉰거 등등 맵고 짠거 투성인데 이런것들을 신경써서 버려야 한다면 글쎄요,0
110,2023-01-31,@zero-ten10,진짜 궁금한건데 소파 어디껀지 아시는분? 딱 저색갈 소파 사려고하는데 찾기가 힘드네요,0
111,2023-01-28,@Vic-q1z,수박껍질이 안되는건 너무 아쉽다,1
112,2023-01-27,@장재영-i8i,내가 갖고싶은거 다 가지고 계시네 .. 브럽다,0
113,2023-01-26,@ddun-no,음식물 처리기 쓰기 전에 음식물 탈수기로 물기 쫙 빼고 돌리면 효율 미칩니다. 탈수기 2만원도 안하는데 이걸로 몇십만원짜리 처리기 성능 갑으로 만드니 꼭 써보세요 ㅋㅋㅋ 꿀팁입니당 진짜 쓴거 안쓴거 차이가 너무 심해서 왜 끼어팔기 안하나 싶을정도..,0
114,2023-01-24,@Razer1991Razer,"<a href=""https://www.youtube.com/watch?v=RehVJ7cH_9o&amp;t=898"">https://youtu.be/RehVJ7cH_9o?t=898</a>",0
115,2023-01-24,@didxogns1,버터는 왜 안된.ㄴ거지?,0
116,2023-02-17,@마따끄-l6n,얘네가 기름기 많은 건 싫어해유,0
117,2023-01-20,@응기잇-u5q,원룸 오피스텔에서 자취하는데 냄새가 온 집에 벨까봐 못 사겠는데 혹시 원룸에서도 쓰시는 분 계신가요 ㅠㅠ,0
118,2023-02-17,@마따끄-l6n,냄새 안나유 오히려 톱밥냄새가 향긋하게 올라옵니다,0
119,2023-01-13,@leejelly0,음식물처리가 계속하다보면 흙 양이 늘어나는건가요??! 아시는분 있으시나요?,0
120,2023-02-17,@마따끄-l6n,늘어나유,0
121,2023-01-13,@rucca_,"<a href=""https://www.youtube.com/watch?v=RehVJ7cH_9o&amp;t=746"">12:26</a> 치킨이........... 남아....??????????",0
122,2023-01-12,@미라파로,"저도 저 제품 쓰고 있고 대체로 만족하고 있긴 하지만, 리뷰해 주신 것처럼 마냥 좋기만 한 건 아닙니다. 은근히 못 넣는 것도 많은데 문젠 집에서 남는 음식물쓰레기가 그런 류가 은근히 많아서... 거기다 필터를 재깍재깍 교체를 안해서 그런지, 넣은 음식물의 문제인지는 몰라도 냄새도 적다고만 하긴 힘들어요. (이건 문 열 때만 나니 그때만 문제긴 한데...)<br>그래도 음식물쓰레기 버리러 내려갈 일을 대폭 줄여준단거 하나만으로도 사서 아깝다는 생각은 들지 않았습니다.",0
123,2023-01-07,@chriskim3849,여기에 CNE드림(미생물 촉매제) 뿌려주면 훨씬 좋겠네요...<br>더 빠르게 부숙시키는 부스터역할,0
124,2023-01-05,@유희건-v1x,저기에 손가락 넣으면 어떻게 돼요?,2
125,2023-01-03,@조정희-s1w,지금까지 내가 산 베스트초이스는  미생물 음식물처리기입니다.  염기까지 어느정도 처리가되니 텃밭가꾸기 최고더라구요.  미생물 가꾸는 재미도 쏠쏠하더라구요. RE100제품아닐까요 ㅎ,2
126,2022-12-29,@Naylah,뱃살 귀엽다... 뱃살 까지 귀여운 그는 대체...,0
127,2022-12-22,@바나나-w6d,음식물 쓰래기 처리기 알아보고있었는데 알고리즘으로 뜨네요 ㅎㅎㅎ,0
128,2022-12-20,@manjubeolpan,음식물 처리기가 아니고  미생물 배양기네 .   잊지말고  밥도 줘야하고.  질기고 매운건 주면안됨,5
129,2023-02-17,@마따끄-l6n,하지만 귀엽쥬?,0
130,2022-12-14,@youseha562,저거 용량작아서 최악의 제품인대  처리능력도 부족하고 이중도어가 아니라서 냄새도 많이 새고 가격도 성능대비 비싸고 문여는것만 편함. 광고라서 너무 찬양하네요. 3가지 제품 비교한 유튜브 영상도 있는대 확실히 저건 안좋습니다.,1
131,2022-12-04,@jk-do4ux,저 흙은 어떻게 처리하는데요?,0
132,2022-12-10,@kyoinn6151,상한선을 넘어가면 덜어내서 일반쓰레기로 버립니다. 아니면 텃밭 같은 곳에 흙과 섞어서 거름으로 쓰셔도 됩니다(실내 화분은 벌레 생길수도 있어서 비추),1
133,2022-11-22,@휴지끈일인자,치킨을넣네....,0
134,2022-11-09,@이진주-v7s,6개월째 사용중입니다! 여러 후기들이 있네요 잘쓰고 있어서 이번에 결혼한 동생네 하나 해줄까 싶어 공구 찾던중 들어왔어요:)<br>우선 저는 음식물 갈아버리진 않습니다! 두꺼운건 어차피 잘 안썩는다는거 아니까 왕창 넣으면 하루이틀 쉬었다 넣어요 음쓰를 그정도 냅둔다고 금방 초파리가 생긴다거나 쉰내가 나진 않더라구요 그런데 주의할점은 과일입니다 특히 복숭아!!! 달고 물이 많아 미생물들이 떡져서 몇날며칠을 가더라구요 한덩이가 되버려서 망가질까 무서웠어요 그거 두번 겪고 좀 조심해서 씁니다ㅎㅎ 그리고 풀로 차면 체에 걸러서 동그란 검은거는 다시 기계에 넣고 흙?같이 나온 것들을 시골갖다버리든가해요 그 과정이 꽤 번거로워서 지금은 성근체로 대충하는데 그것만 해도 도움이 되는거 같아요! <br>한약재 냄새도 났다가 시큼한 냄새도 나는데 습기제거 냄새제거 누르면 됩니다 다만 백프로 제거되진 않아요ㅎㅎㅎㅎ 소음이 작게나마 있으니 잠귀밝으신 분들은 직사광선 안드는 베란다에 두시길 바라요 저는 제방이 주방이랑 가깝고 동선이 편해서 문옆에 뒀더니 초반에 꽤 거슬렸어요 물론 지금은 신경안쓰임ㅎㅅㅎ 그리고 열도 살짝 나요 엄마가 밖에 내놓으랬는데 전 이 편리한 동선 못 잃겠네요!<br>터치로 누르는 부분은 스티커가 금?난것처럼 지그재그로 찢어져있어요 그건 애석합니다 아예 그부분을 투명?아크릴?무튼 비치도록 제작했으면 비싼제품 훼손되는 쓰라림을 덜 느꼈을텐데 아쉬움ㅠㅠ 사용한지 얼마 안되서 벗겨지기 시작해서 꽤나 속상했어요!<br>아무튼 저는 잘쓰고 있네요! 그런데 두번은 안살거 같아요😃 최소한 다른 모델로 고르든지 음쓰기말고 다른 방법도 찾아보려구요 아무리 정가보다 20마넌씩 싸게 판대도 80마넌에 육박하는 가격입니당 내돈다주고 사기엔 한번더 고민하는 것도 좋을거 같아요 편하긴한데 아파트 사는집엔 이왕 있으면 좋은정도? 부모님댁이나 선물하고 생색내기 좋은 정도인거 같네요ㅎㅎ<br>이상 6개월차의 후기였습니당♥️,0
135,2022-11-07,@qzpm1324,잇섭형 재생플라스틱 넣으면 어떻게 되는지도 보여주라,0
136,2022-11-02,@이상록-114,"<a href=""https://www.youtube.com/watch?v=RehVJ7cH_9o"">00:00</a> 음쓰 처리기가 소식하는게 유행이 된 건가요",1
137,2022-10-31,@Ggulbamii,"잇섭님 덕분에 편하게 잘 쓰고 있어서, 세 달 사용기 남깁니다.<br>결론: 3인 가족은 유용하나, 4인 이상 가족은 비추천<br>장점은 영상에 잘 나와 있으니, 구매 선택에 정말 중요한 딱 두 가지만 남깁니다.<br><br>1. Min - Max 차이가 너무 작음<br>미생물(흙)을 채워야 하는 최소 높이가 있습니다.<br>거기서부터 음식물이 분해되어 쌓이는 최대 높이까지 차이가 너무 낮습니다.<br>3인 가족 기준 최소 일주일에 한 번씩 분해된 음식물을 비워줘야 합니다.<br>(음식물 버리러 안 갈려고 샀는데, 이게 생각보다 불편합니다.)<br>한번에 음식물을 1kg까지만 처리할 수 있는데, 매일 1kg씩 쓴다면 4~5일 정도면 꽉차서 보조해줄 음식물 쓰레기통이나 봉투가 필요합니다.<br>단, 우리집이 아들 둘에 잔반을 거의 안남긴다 하면 4인 가족도 가능할 수는 있습니다.<br><br>2. 매운 음식 처리 불가<br>정확히는 고춧가루가 많이 들어간 음식을 넣으면 미생물들이 3일~1주일동안 일을 못합니다.<br>즉, 그 기간 동안 기존 음식물 쓰레기통이나 봉투를 사용해야 한다는거죠.<br>원래 미생물이 건강할 땐 밝은 갈색?의 흙색인데, 고춧가루가 많이 들어간 음식을 넣으면 까맣게 변하면서 소화를 못시킵니다.<br>아무리 음식을 씻어서 린클에 넣어도 고춧가루가 어느 정도는 들어가기 마련인데, 여기에 너무 약합니다.<br>저희 가족은 애기 때문에 매운 음식을 가끔 먹는데도, 이 부분이 정말 불편 하더라구요.<br><br>다시 한번 결론: 4인이상 가족, 매운 음식을 보통 횟수로 먹는 가족이라면 린클만으로는 음식물 처리가 불가능하다.",15
